CDID,Title,PreUnit,Unit,Release Date,Next release,Important Notes
D7BU,CPI INDEX 01 : FOOD AND NON-ALCOHOLIC BEVERAGES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7BV,"CPI INDEX 02:ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7BW,CPI INDEX 03 : CLOTHING AND FOOTWEAR 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7BX,"CPI INDEX 04 : HOUSING, WATER AND FUELS 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7BY,"CPI INDEX 05 : FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7BZ,CPI INDEX 06 : HEALTH 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7C2,CPI INDEX 07 : TRANSPORT 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7C3,CPI INDEX 08 : COMMUNICATION 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7C4,CPI INDEX 09 : RECREATION & CULTURE 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7C5,CPI INDEX 10 : EDUCATION 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7C6,"CPI INDEX 11 : HOTELS, CAFES AND RESTAURANTS 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7C7,CPI INDEX 12 : MISCELLANEOUS GOODS AND SERVICES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7C8,CPI INDEX 01.1 : FOOD 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7C9,CPI INDEX 01.2 : NON-ALCOHOLIC BEVERAGES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CA,CPI INDEX 02.1 : ALCOHOLIC BEVERAGES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CB,CPI INDEX 02.2 : TOBACCO 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CC,CPI INDEX 03.1 : CLOTHING 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CD,CPI INDEX 03.2 : FOOTWEAR INCLUDING REPAIRS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CE,CPI INDEX 04.1 : ACTUAL RENTS FOR HOUSING 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CF,CPI INDEX 04.3 : REGULAR MAINTENANCE AND REPAIR OF THE DWELLING 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CG,CPI INDEX 04.4 : Water supply and misc. services for the dwelling 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CH,"CPI INDEX 04.5 : ELECTRICITY, GAS AND OTHER FUELS 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7CI,"CPI INDEX 05.1 : Furniture, furnishings and carpets 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7CJ,CPI INDEX 05.2 : HOUSEHOLD TEXTILES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CK,"CPI INDEX 05.3 : Household appliances, fitting and repairs 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7CL,"CPI INDEX 05.4 : GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7CM,CPI INDEX 05.5 : TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CN,CPI INDEX 05.6 : Goods and services for routine maintenance 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CO,CPI INDEX 07.1 : PURCHASE OF VEHICLES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CP,CPI INDEX 07.2 : OPERATION OF PERSONAL TRANSPORT EQUIPMENT 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CQ,CPI INDEX 07.3 : TRANSPORT SERVICES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CR,CPI INDEX 08.1 : POSTAL SERVICES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CS,CPI INDEX 09.1 : Audio-visual equipment and related products 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CT,CPI INDEX 09.2 : OTHER MAJOR DURABLES FOR RECREATION AND CULTURE 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CU,CPI INDEX 09.3 : OTHER RECREATIONAL ITEMS AND EQUIPMENT GARDENS & PETS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CV,CPI INDEX 09.4 : RECREATIONAL AND CULTURAL SERVICES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CW,CPI INDEX 11.1 : Catering services 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CX,CPI INDEX 11.2 : ACCOMMODATION SERVICES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CY,CPI INDEX 12.1 : PERSONAL CARE 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7CZ,CPI INDEX 12.6.2 : Other financial services (nec) 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7D2,CPI INDEX 12.4 : SOCIAL PROTECTION 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7D3,CPI INDEX 12.5 : INSURANCE 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7D4,CPI INDEX 12.6 : FINANCIAL SERVICES N.E.C. 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7D5,CPI INDEX 01.1.1 : BREAD & CEREALS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7D6,CPI INDEX 01.1.2 : MEAT 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7D7,CPI INDEX 01.1.3 : FISH 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7D8,"CPI INDEX 01.1.4 : MILK, CHEESE & EGGS 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7D9,CPI INDEX 01.1.5 : OILS & FATS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DA,CPI INDEX 01.1.6 : FRUIT 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DB,CPI INDEX 01.1.7 : VEGETABLES INCLUDING POTATOES AND OTHER TUBERS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DC,"CPI INDEX 01.1.8 : SUGAR, JAM, HONEY, SYRUPS, CHOCOLATE & CONFECTIONERY 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7DD,CPI INDEX 01.1.9 : FOOD PRODUCTS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DE,"CPI INDEX 01.2.1 : COFFEE, TEA, COCOA 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7DF,"CPI INDEX 01.2.2 : MINERAL WATERS, SOFT DRINKS AND JUICES 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7DG,CPI INDEX 02.1.1 : SPIRITS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DH,CPI INDEX 02.1.2 : WINE 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DI,CPI INDEX 02.1.3 : BEER 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DK,CPI INDEX 03.1.2 : GARMENTS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DL,CPI INDEX 03.1.3 :OTHER ARTICLES OF CLOTHING & ACCESSORIES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DM,"CPI INDEX 03.1.4 : Cleaning, repair and hire of clothing 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7DN,CPI INDEX 04.3.1 : Materials for maintenance and repair 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DO,CPI INDEX 04.3.2 : Services for maintenance and repair 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DQ,CPI INDEX 04.4.3 : SEWERAGE COLLECTION 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DR,CPI INDEX 04.4.1 : WATER SUPPLY 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DT,CPI INDEX 04.5.1 : ELECTRICITY 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DU,CPI INDEX 04.5.2 : GAS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DV,CPI INDEX 04.5.3 : LIQUID FUELS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DW,CPI INDEX 04.5.4 : SOLID FUELS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DY,CPI INDEX 05.1.1 : Furniture and furnishings 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7DZ,CPI INDEX 05.1.2 : CARPETS & OTHER FLOOR COVERINGS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7E3,CPI INDEX 05.3.1/2 : Major appliances and small electric goods 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7E4,CPI INDEX 05.3.3 : REPAIR OF HOUSEHOLD APPLIANCES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7E5,CPI INDEX 05.6.1 : NON-DURABLE HOUSEHOLD GOODS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7E6,CPI INDEX 05.6.2 : Domestic services and household services 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7E8,CPI INDEX 07.1.1A : NEW CARS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7E9,CPI INDEX 07.1.1B : SECOND-HAND CARS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EA,CPI INDEX 07.1.2/3 : MOTOR CYCLES AND BICYCLES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EB,CPI INDEX 07.2.1 : SPARE PARTS & ACCESSORIES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EC,CPI INDEX 07.2.2 : FUELS & LUBRICANTS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7ED,CPI INDEX 07.2.3 : MAINTENANCE & REPAIRS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EE,CPI INDEX 07.2.4 : OTHER SERVICES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EF,CPI INDEX 07.3.1 : PASSENGER TRANSPORT BY RAILWAY 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EG,CPI INDEX 07.3.2/6 : Passenger transport by road and other transport services 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EH,CPI INDEX 07.3.3 : PASSENGER TRANSPORT BY AIR 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EI,CPI INDEX 07.3.4 : PASSENGER TRANSPORT BY SEA AND INLAND WATERWAY 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EM,CPI INDEX 08.2/3: TELEPHONE AND TELEFAX EQUIPMENT AND SERVICES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EN,CPI INDEX 09.1.1 : Reception and reproduction of sound and pictures 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EO,"CPI INDEX 09.1.2 : PHOTOGRAPHIC, CINEMATOGRAPHIC & OPTICAL EQUIPMENT 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7EP,CPI INDEX 09.1.3 : Data processing equipment 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EQ,CPI INDEX 12.5.3/5 : Health insurance and other insurance 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7ER,CPI INDEX 09.1.5 : Repair of audio-visual equipment & related products 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7ES,CPI INDEX 09.1.4 : RECORDING MEDIA 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7ET,CPI INDEX 09.3.3 : GARDEN PLANTS AND FLOWERS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EU,"CPI INDEX 09.3.4/5 : Pets, related products and services 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7EW,CPI INDEX 11.1.1 : RESTAURANTS & CAFES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EX,CPI INDEX 11.1.2 : CANTEENS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EY,CPI INDEX 12.1.1 : Hairdressing and personal grooming establishments 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7EZ,"CPI INDEX 12.1.2/3 : APPLIANCES, ARTICLES & PRODUCTS FOR PERSONAL CARE 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7F2,CPI INDEX 12.5.2 : House contents insurance 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7F3,CPI INDEX 12.5.4 : Transport insurance 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7F4,CPI INDEX: Goods 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7F5,CPI INDEX: Services 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7F6,CPI INDEX 06.1 : MEDICAL PRODUCTS APPLIANCES AND EQUIPMENT 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7F7,CPI INDEX 06.1.1 : PHARMACEUTICAL PRODUCTS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7F8,CPI INDEX 06.1.2/3 : OTHER MEDICAL AND THERAPEUTIC EQUIPMENT 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7F9,CPI INDEX 06.2 : OUT-PATIENT SERVICES: 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FA,CPI INDEX 06.2.1/3 : MEDICAL SERVICES AND PARAMEDICAL SERVICES: 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FB,CPI INDEX 06.2.2 : DENTAL SERVICES: 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FC,CPI INDEX 06.3 : HOSPITAL SERVICES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FD,CPI INDEX 09.2.1/2/3 : Major durables for in/outdoor recreation & their maintenance 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FF,CPI INDEX 09.3.1 : GAMES TOYS AND HOBBIES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FG,CPI INDEX 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FH,CPI INDEX 09.4.1 : RECREATIONAL AND SPORTING SERVICES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FI,CPI INDEX 09.4.2 : CULTURAL SERVICES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FJ,"CPI INDEX 09.5 : Books, newspapers and stationery 2015=100",,"Index, base year = 100",15-11-2023,20 December 2023,
D7FK,CPI INDEX 09.5.1 : BOOKS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FL,CPI INDEX 09.5.2 : NEWSPAPERS AND PERIODICALS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FM,CPI INDEX 09.5.3/4 :MISC. PRINTED MATTER STATIONERY & DRAWING MATERIALS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FN,CPI INDEX 09.6 : PACKAGE HOLIDAY 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FO,CPI INDEX 12.3 : PERSONAL EFFECTS N.E.C. 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FP,CPI INDEX 12.3.1 : JEWELLERY CLOCKS AND WATCHES 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FQ,CPI INDEX 12.3.2 : OTHER PERSONAL EFFECTS 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7FR,CPI INDEX 12.7 : OTHER SERVICES NEC 2015=100,,"Index, base year = 100",15-11-2023,20 December 2023,
D7G7,CPI ANNUAL RATE 00: ALL ITEMS 2015=100,,%,15-11-2023,20 December 2023,
D7G8,CPI ANNUAL RATE 01 : FOOD AND NON-ALCOHOLIC BEVERAGES 2015=100,,%,15-11-2023,20 December 2023,
D7G9,"CPI ANNUAL RATE 02 : ALCOHOLIC BEVERAGES,TOBACCO 2015=100",,%,15-11-2023,20 December 2023,
D7GA,CPI ANNUAL RATE 03 : CLOTHING AND FOOTWEAR 2015=100,,%,15-11-2023,20 December 2023,
D7GB,"CPI ANNUAL RATE 04 : HOUSING, WATER AND FUELS 2015=100",,%,15-11-2023,20 December 2023,
D7GC,"CPI ANNUAL RATE 05 : FURN, HH EQUIP & REPAIR OF THE HOUSE 2015=100",,%,15-11-2023,20 December 2023,
D7GD,CPI ANNUAL RATE 06 : HEALTH 2015=100,,%,15-11-2023,20 December 2023,
D7GE,CPI ANNUAL RATE 07 : TRANSPORT 2015=100,,%,15-11-2023,20 December 2023,
D7GF,CPI ANNUAL RATE 08 : COMMUNICATION 2015=100,,%,15-11-2023,20 December 2023,
D7GG,CPI ANNUAL RATE 09 : RECREATION & CULTURE 2015=100,,%,15-11-2023,20 December 2023,
D7GH,CPI ANNUAL RATE 10 : EDUCATION 2015=100,,%,15-11-2023,20 December 2023,
D7GI,"CPI ANNUAL RATE 11 : HOTELS, CAFES AND RESTAURANTS 2015=100",,%,15-11-2023,20 December 2023,
D7GJ,CPI ANNUAL RATE 12 : MISCELLANEOUS GOODS AND SERVICES 2015=100,,%,15-11-2023,20 December 2023,
D7GK,CPI ANNUAL RATE 01.1 : FOOD 2015=100,,%,15-11-2023,20 December 2023,
D7GL,CPI ANNUAL RATE 01.2 : NON-ALCOHOLIC BEVERAGES 2015=100,,%,15-11-2023,20 December 2023,
D7GM,CPI ANNUAL RATE 02.1 : ALCOHOLIC BEVERAGES 2015=100,,%,15-11-2023,20 December 2023,
D7GN,CPI ANNUAL RATE 02.2 : TOBACCO 2015=100,,%,15-11-2023,20 December 2023,
D7GO,CPI ANNUAL RATE 03.1 : CLOTHING 2015=100,,%,15-11-2023,20 December 2023,
D7GP,CPI ANNUAL RATE 03.2 : FOOTWEAR INCLUDING REPAIRS 2015=100,,%,15-11-2023,20 December 2023,
D7GQ,CPI ANNUAL RATE 04.1 : ACTUAL RENTS FOR HOUSING 2015=100,,%,15-11-2023,20 December 2023,
D7GR,CPI ANNUAL RATE 04.3 : REGULAR MAINTENANCE AND REPAIR OF THE DWELLING 2015=100,,%,15-11-2023,20 December 2023,
D7GS,CPI ANNUAL RATE 04.4 : Water supply and misc. services for the dwelling 2015=100,,%,15-11-2023,20 December 2023,
D7GT,"CPI ANNUAL RATE 04.5 : ELECTRICITY, GAS AND OTHER FUELS 2015=100",,%,15-11-2023,20 December 2023,
D7GU,"CPI ANNUAL RATE 05.1:Furniture, furnishings and carpets 2015=100",,%,15-11-2023,20 December 2023,
D7GV,CPI ANNUAL RATE 05.2 : HOUSEHOLD TEXTILES 2015=100,,%,15-11-2023,20 December 2023,
D7GW,"CPI ANNUAL RATE 05.3 : Household appliances, fitting and repairs 2015=100",,%,15-11-2023,20 December 2023,
D7GX,"CPI ANNUAL RATE 05.4 : GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS 2015=100",,%,15-11-2023,20 December 2023,
D7GY,CPI ANNUAL RATE 05.5 : TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN 2015=100,,%,15-11-2023,20 December 2023,
D7GZ,CPI ANNUAL RATE 05.6: Goods and services for routine maintenance 2015=100,,%,15-11-2023,20 December 2023,
D7H2,CPI ANNUAL RATE 07.1 : PURCHASE OF VEHICLES 2015=100,,%,15-11-2023,20 December 2023,
D7H3,CPI ANNUAL RATE 07.2 : OPERATION OF PERSONAL TRANSPORT EQUIPMENT 2015=100,,%,15-11-2023,20 December 2023,
D7H4,CPI ANNUAL RATE 07.3 : TRANSPORT SERVICES 2015=100,,%,15-11-2023,20 December 2023,
D7H5,CPI ANNUAL RATE 08.1 : POSTAL SERVICES 2015=100,,%,15-11-2023,20 December 2023,
D7H6,CPI ANNUAL RATE 09.1 : Audio-visual equipment and related products 2015=100,,%,15-11-2023,20 December 2023,
D7H7,CPI ANNUAL RATE 09.2 : OTHER MAJOR DURABLES FOR RECREATION AND CULTURE 2015=100,,%,15-11-2023,20 December 2023,
D7H8,"CPI ANNUAL RATE 09.3 : Other recreational items, gardens and pets 2015=100",,%,15-11-2023,20 December 2023,
D7H9,CPI ANNUAL RATE 09.4 : RECREATIONAL AND CULTURAL SERVICES 2015=100,,%,15-11-2023,20 December 2023,
D7HA,CPI ANNUAL RATE 11.1 : CATERING 2015=100,,%,15-11-2023,20 December 2023,
D7HB,CPI ANNUAL RATE 11.2 : ACCOMMODATION SERVICES 2015=100,,%,15-11-2023,20 December 2023,
D7HC,CPI ANNUAL RATE 12.1 : PERSONAL CARE 2015=100,,%,15-11-2023,20 December 2023,
D7HD,CPI ANNUAL RATE 12.6.2 : Other financial services (nec) 2015=100,,%,15-11-2023,20 December 2023,
D7HE,CPI ANNUAL RATE 12.4 : SOCIAL PROTECTION 2015=100,,%,15-11-2023,20 December 2023,
D7HF,CPI ANNUAL RATE 12.5 : INSURANCE 2015=100,,%,15-11-2023,20 December 2023,
D7HG,CPI ANNUAL RATE 12.6 : FINANCIAL SERVICES N.E.C. 2015=100,,%,15-11-2023,20 December 2023,
D7HH,CPI ANNUAL RATE 01.1.1 : BREAD & CEREALS 2015=100,,%,15-11-2023,20 December 2023,
D7HI,CPI ANNUAL RATE 01.1.2 : MEAT 2015=100,,%,15-11-2023,20 December 2023,
D7HJ,CPI ANNUAL RATE 01.1.3 : FISH 2015=100,,%,15-11-2023,20 December 2023,
D7HK,"CPI ANNUAL RATE 01.1.4 : MILK, CHEESE & EGGS 2015=100",,%,15-11-2023,20 December 2023,
D7HL,CPI ANNUAL RATE 01.1.5 : OILS & FATS 2015=100,,%,15-11-2023,20 December 2023,
D7HM,CPI ANNUAL RATE 01.1.6 : FRUIT 2015=100,,%,15-11-2023,20 December 2023,
D7HN,CPI ANNUAL RATE 01.1.7 : VEGETABLES INCLUDING POTATOES AND OTHER TUBERS 2015=100,,%,15-11-2023,20 December 2023,
D7HO,"CPI ANN RATE 01.1.8:SUGAR,JAM,HONEY,SYRUPS,CHOCOLATE & CONFECTIONERY 2015=100",,%,15-11-2023,20 December 2023,
D7HP,CPI ANNUAL RATE 01.1.9 : FOOD PRODUCTS (NEC) 2015=100,,%,15-11-2023,20 December 2023,
D7HQ,"CPI ANNUAL RATE 01.2.1 : COFFEE, TEA, COCOA 2015=100",,%,15-11-2023,20 December 2023,
D7HR,"CPI ANNUAL RATE 01.2.2 : MINERAL WATERS, SOFT DRINKS AND JUICES 2015=100",,%,15-11-2023,20 December 2023,
D7HS,CPI ANNUAL RATE 02.1.1 : SPIRITS 2015=100,,%,15-11-2023,20 December 2023,
D7HT,CPI ANNUAL RATE 02.1.2 : WINE 2015=100,,%,15-11-2023,20 December 2023,
D7HU,CPI ANNUAL RATE 02.1.3 : BEER 2015=100,,%,15-11-2023,20 December 2023,
D7HW,CPI ANNUAL RATE 03.1.2 : GARMENTS 2015=100,,%,15-11-2023,20 December 2023,
D7HX,CPI ANNUAL RATE 03.1.3 : OTHER ARTICLES OF CLOTHING & ACCESSORIES 2015=100,,%,15-11-2023,20 December 2023,
D7HY,"CPI ANNUAL RATE 03.1.4 : Cleaning, repair and hire of clothing 2015=100",,%,15-11-2023,20 December 2023,
D7HZ,CPI ANNUAL RATE 04.3.1 : Materials for maintenance and repair 2015=100,,%,15-11-2023,20 December 2023,
D7I2,CPI ANNUAL RATE 04.3.2 : Services for maintenance and repair 2015=100,,%,15-11-2023,20 December 2023,
D7I4,CPI ANNUAL RATE 04.4.3 : SEWERAGE COLLECTION 2015=100,,%,15-11-2023,20 December 2023,
D7I5,CPI ANNUAL RATE 04.4.1 : WATER SUPPLY 2015=100,,%,15-11-2023,20 December 2023,
D7I7,CPI ANNUAL RATE 04.5.1 : ELECTRICITY 2015=100,,%,15-11-2023,20 December 2023,
D7I8,CPI ANNUAL RATE 04.5.2 : GAS 2015=100,,%,15-11-2023,20 December 2023,
D7I9,CPI ANNUAL RATE 04.5.3 : LIQUID FUELS 2015=100,,%,15-11-2023,20 December 2023,
D7IA,CPI ANNUAL RATE 04.5.4 : SOLID FUELS 2015=100,,%,15-11-2023,20 December 2023,
D7IC,"CPI ANNUAL RATE 05.1.1 : FURNITURE, FURNISHINGS 2015=100",,%,15-11-2023,20 December 2023,
D7ID,CPI ANNUAL RATE 05.1.2 : CARPETS & OTHER FLOOR COVERINGS 2015=100,,%,15-11-2023,20 December 2023,
D7IF,CPI ANNUAL RATE 05.3.1/2 : Major appliances and small electric goods 2015=100,,%,15-11-2023,20 December 2023,
D7IG,CPI ANNUAL RATE 05.3.3 : REPAIR OF HOUSEHOLD APPLIANCES 2015=100,,%,15-11-2023,20 December 2023,
D7IH,CPI ANNUAL RATE 05.6.1 : NON-DURABLE HOUSEHOLD GOODS 2015=100,,%,15-11-2023,20 December 2023,
D7II,CPI ANNUAL RATE 05.6.2 : Domestic services and household services 2015=100,,%,15-11-2023,20 December 2023,
D7IK,CPI ANNUAL RATE 07.1.1A : NEW CARS 2015=100,,%,15-11-2023,20 December 2023,
D7IL,CPI ANNUAL RATE 07.1.1B : SECOND-HAND CARS 2015=100,,%,15-11-2023,20 December 2023,
D7IM,CPI ANNUAL RATE 07.1.2/3 : MOTOR CYCLES AND BICYCLES 2015=100,,%,15-11-2023,20 December 2023,
D7IN,CPI ANNUAL RATE 07.2.1 : SPARE PARTS & ACCESSORIES 2015=100,,%,15-11-2023,20 December 2023,
D7IO,CPI ANNUAL RATE 07.2.2 : FUELS & LUBRICANTS 2015=100,,%,15-11-2023,20 December 2023,
D7IP,CPI ANNUAL RATE 07.2.3 : MAINTENANCE & REPAIRS 2015=100,,%,15-11-2023,20 December 2023,
D7IQ,CPI ANNUAL RATE 07.2.4 :OTHER SERVICES 2015=100,,%,15-11-2023,20 December 2023,
D7IR,CPI ANNUAL RATE 07.3.1 : PASSENGER TRANSPORT BY RAILWAY 2015=100,,%,15-11-2023,20 December 2023,
D7IS,ANNUAL RATE 07.3.2/6 : PASSENGER TRANSPORT BY ROAD AND OTHER TRANSPORT SERVICES 2015=100,,%,15-11-2023,20 December 2023,
D7IT,CPI ANNUAL RATE 07.3.3 : PASSENGER TRANSPORT BY AIR 2015=100,,%,15-11-2023,20 December 2023,
D7IU,CPI ANNUAL RATE 07.3.4 : PASSENGER TRANSPORT BY SEA AND INLAND WATERWAY 2015=100,,%,15-11-2023,20 December 2023,
D7IY,CPI ANNUAL RATE 08.2 : TELEPHONE AND TELEFAX EQUIPMENT AND SERVICES 2015=100,,%,15-11-2023,20 December 2023,
D7IZ,CPI ANNUAL RATE 09.1.1 : Reception and reproduction of sound and pictures 2015=100,,%,15-11-2023,20 December 2023,
D7J2,"CPI ANNUAL RATE 09.1.2 : Photographic, cinematographic and optical equipment 2015=100",,%,15-11-2023,20 December 2023,
D7J3,CPI ANNUAL RATE 09.1.3 : Data processing equipment 2015=100,,%,15-11-2023,20 December 2023,
D7J5,CPI ANNUAL RATE 09.1.5: Repair of audio-visual equipment & related products 2015=100,,%,15-11-2023,20 December 2023,
D7J6,CPI ANNUAL RATE 09.1.4 : RECORDING MEDIA 2015=100,,%,15-11-2023,20 December 2023,
