LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CZE,NEET,15_19_WOMEN,PC_AGE,A,2022,7.0421515,
CZE,NEET,20_24_WOMEN,PC_AGE,A,2019,12.940073,
CZE,NEET,20_24_WOMEN,PC_AGE,A,2020,14.057869,
CZE,NEET,20_24_WOMEN,PC_AGE,A,2021,16.608381,
CZE,NEET,20_24_WOMEN,PC_AGE,A,2022,12.9809,
DNK,NEET,15_19_MEN,PC_AGE,A,2019,4.0091233,
DNK,NEET,15_19_MEN,PC_AGE,A,2020,3.8901088,
DNK,NEET,15_19_MEN,PC_AGE,A,2021,5.085146,
DNK,NEET,15_19_MEN,PC_AGE,A,2022,4.0261335,
DNK,NEET,20_24_MEN,PC_AGE,A,2019,12.88414,
DNK,NEET,20_24_MEN,PC_AGE,A,2020,13.749064,
DNK,NEET,20_24_MEN,PC_AGE,A,2021,11.809051,
DNK,NEET,20_24_MEN,PC_AGE,A,2022,11.344775,
DNK,NEET,15_19_WOMEN,PC_AGE,A,2019,4.8543692,
DNK,NEET,15_19_WOMEN,PC_AGE,A,2020,4.6921034,
DNK,NEET,15_19_WOMEN,PC_AGE,A,2021,4.5752921,
DNK,NEET,15_19_WOMEN,PC_AGE,A,2022,3.1362956,
DNK,NEET,20_24_WOMEN,PC_AGE,A,2019,12.53395,
DNK,NEET,20_24_WOMEN,PC_AGE,A,2020,13.843096,
DNK,NEET,20_24_WOMEN,PC_AGE,A,2021,11.364285,
DNK,NEET,20_24_WOMEN,PC_AGE,A,2022,12.174725,
FIN,NEET,15_19_MEN,PC_AGE,A,2019,4.9645391,
FIN,NEET,15_19_MEN,PC_AGE,A,2020,4.347826,
FIN,NEET,15_19_MEN,PC_AGE,A,2021,4.4117646,
FIN,NEET,15_19_MEN,PC_AGE,A,2022,6.2937064,
FIN,NEET,20_24_MEN,PC_AGE,A,2019,13.375796,
FIN,NEET,20_24_MEN,PC_AGE,A,2020,17.721519,
FIN,NEET,20_24_MEN,PC_AGE,A,2021,16.25,
FIN,NEET,20_24_MEN,PC_AGE,A,2022,11.333333,
FIN,NEET,15_19_WOMEN,PC_AGE,A,2019,4.1379309,
FIN,NEET,15_19_WOMEN,PC_AGE,A,2020,3.3557048,
FIN,NEET,15_19_WOMEN,PC_AGE,A,2021,5.2287583,
FIN,NEET,15_19_WOMEN,PC_AGE,A,2022,5.4054055,
FIN,NEET,20_24_WOMEN,PC_AGE,A,2019,12.418301,
FIN,NEET,20_24_WOMEN,PC_AGE,A,2020,12.5,
FIN,NEET,20_24_WOMEN,PC_AGE,A,2021,14.685315,
FIN,NEET,20_24_WOMEN,PC_AGE,A,2022,12.751678,
FRA,NEET,15_19_MEN,PC_AGE,A,2019,6.9490533,
FRA,NEET,15_19_MEN,PC_AGE,A,2020,7.3793068,
FRA,NEET,15_19_MEN,PC_AGE,A,2021,7.9120336,
FRA,NEET,15_19_MEN,PC_AGE,A,2022,7.5479932,
FRA,NEET,20_24_MEN,PC_AGE,A,2019,20.523014,
FRA,NEET,20_24_MEN,PC_AGE,A,2020,18.068743,
FRA,NEET,20_24_MEN,PC_AGE,A,2021,20.138393,
FRA,NEET,20_24_MEN,PC_AGE,A,2022,17.291555,
FRA,NEET,15_19_WOMEN,PC_AGE,A,2019,5.9909472,
FRA,NEET,15_19_WOMEN,PC_AGE,A,2020,5.6989574,
FRA,NEET,15_19_WOMEN,PC_AGE,A,2021,5.185071,
FRA,NEET,15_19_WOMEN,PC_AGE,A,2022,5.1058655,
FRA,NEET,20_24_WOMEN,PC_AGE,A,2019,18.470772,
FRA,NEET,20_24_WOMEN,PC_AGE,A,2020,19.904406,
FRA,NEET,20_24_WOMEN,PC_AGE,A,2021,17.820471,
FRA,NEET,20_24_WOMEN,PC_AGE,A,2022,16.020018,
DEU,NEET,15_19_MEN,PC_AGE,A,2019,3.0906773,
DEU,NEET,15_19_MEN,PC_AGE,A,2021,5.7667723,
DEU,NEET,15_19_MEN,PC_AGE,A,2022,4.3059216,
DEU,NEET,20_24_MEN,PC_AGE,A,2019,7.5907469,
DEU,NEET,20_24_MEN,PC_AGE,A,2021,9.6283875,
DEU,NEET,20_24_MEN,PC_AGE,A,2022,8.6808071,
DEU,NEET,15_19_WOMEN,PC_AGE,A,2019,2.4973559,
DEU,NEET,15_19_WOMEN,PC_AGE,A,2021,4.5899587,
DEU,NEET,15_19_WOMEN,PC_AGE,A,2022,4.9829741,
DEU,NEET,20_24_WOMEN,PC_AGE,A,2019,10.251824,
DEU,NEET,20_24_WOMEN,PC_AGE,A,2021,11.498549,
DEU,NEET,20_24_WOMEN,PC_AGE,A,2022,9.102931,
GRC,NEET,15_19_MEN,PC_AGE,A,2019,7.2291903,
GRC,NEET,15_19_MEN,PC_AGE,A,2020,8.3505812,
GRC,NEET,15_19_MEN,PC_AGE,A,2021,5.7791305,
GRC,NEET,15_19_MEN,PC_AGE,A,2022,4.9795723,
GRC,NEET,20_24_MEN,PC_AGE,A,2019,21.892649,
GRC,NEET,20_24_MEN,PC_AGE,A,2020,18.093176,
GRC,NEET,20_24_MEN,PC_AGE,A,2021,22.923546,
GRC,NEET,20_24_MEN,PC_AGE,A,2022,17.269463,
GRC,NEET,15_19_WOMEN,PC_AGE,A,2019,6.0936089,
GRC,NEET,15_19_WOMEN,PC_AGE,A,2020,7.0067105,
GRC,NEET,15_19_WOMEN,PC_AGE,A,2021,2.5140557,
GRC,NEET,15_19_WOMEN,PC_AGE,A,2022,3.6861229,
GRC,NEET,20_24_WOMEN,PC_AGE,A,2019,22.202389,
GRC,NEET,20_24_WOMEN,PC_AGE,A,2020,19.414768,
GRC,NEET,20_24_WOMEN,PC_AGE,A,2021,25.622671,
GRC,NEET,20_24_WOMEN,PC_AGE,A,2022,21.814026,
HUN,NEET,15_19_MEN,PC_AGE,A,2019,5.1228652,
HUN,NEET,15_19_MEN,PC_AGE,A,2020,6.9023499,
HUN,NEET,15_19_MEN,PC_AGE,A,2021,7.8815627,
HUN,NEET,15_19_MEN,PC_AGE,A,2022,5.1505342,
HUN,NEET,20_24_MEN,PC_AGE,A,2019,11.951361,
HUN,NEET,20_24_MEN,PC_AGE,A,2020,12.154282,
HUN,NEET,20_24_MEN,PC_AGE,A,2021,11.233746,
HUN,NEET,20_24_MEN,PC_AGE,A,2022,11.552072,
HUN,NEET,15_19_WOMEN,PC_AGE,A,2019,6.8346796,
HUN,NEET,15_19_WOMEN,PC_AGE,A,2020,6.3929,
HUN,NEET,15_19_WOMEN,PC_AGE,A,2021,5.8909416,
HUN,NEET,15_19_WOMEN,PC_AGE,A,2022,6.3278708,
HUN,NEET,20_24_WOMEN,PC_AGE,A,2019,19.208992,
HUN,NEET,20_24_WOMEN,PC_AGE,A,2020,19.164665,
HUN,NEET,20_24_WOMEN,PC_AGE,A,2021,21.784817,
HUN,NEET,20_24_WOMEN,PC_AGE,A,2022,16.880568,
ISL,NEET,15_19_MEN,PC_AGE,A,2019,5.4620047,
ISL,NEET,15_19_MEN,PC_AGE,A,2020,6.0730982,
ISL,NEET,15_19_MEN,PC_AGE,A,2022,5.8979945,
ISL,NEET,20_24_MEN,PC_AGE,A,2019,8.0408306,
ISL,NEET,20_24_MEN,PC_AGE,A,2020,9.6269922,
ISL,NEET,20_24_MEN,PC_AGE,A,2021,11.517546,
ISL,NEET,20_24_MEN,PC_AGE,A,2022,7.19526,
ISL,NEET,15_19_WOMEN,PC_AGE,A,2019,3.0996199,
ISL,NEET,15_19_WOMEN,PC_AGE,A,2020,4.7113047,
ISL,NEET,15_19_WOMEN,PC_AGE,A,2022,1.7068961,
ISL,NEET,20_24_WOMEN,PC_AGE,A,2019,5.1058202,
ISL,NEET,20_24_WOMEN,PC_AGE,A,2020,11.073989,
ISL,NEET,20_24_WOMEN,PC_AGE,A,2021,8.4245853,
ISL,NEET,20_24_WOMEN,PC_AGE,A,2022,5.1417513,
IRL,NEET,15_19_MEN,PC_AGE,A,2019,7.078341,
IRL,NEET,15_19_MEN,PC_AGE,A,2020,7.2236834,
IRL,NEET,15_19_MEN,PC_AGE,A,2021,4.8639789,
IRL,NEET,15_19_MEN,PC_AGE,A,2022,2.867595,
IRL,NEET,20_24_MEN,PC_AGE,A,2019,13.306905,
IRL,NEET,20_24_MEN,PC_AGE,A,2020,12.910156,
IRL,NEET,20_24_MEN,PC_AGE,A,2021,13.706847,
IRL,NEET,20_24_MEN,PC_AGE,A,2022,11.284119,
IRL,NEET,15_19_WOMEN,PC_AGE,A,2019,5.6198454,
IRL,NEET,15_19_WOMEN,PC_AGE,A,2020,5.1124096,
IRL,NEET,15_19_WOMEN,PC_AGE,A,2021,4.838201,
IRL,NEET,15_19_WOMEN,PC_AGE,A,2022,3.6126103,
IRL,NEET,20_24_WOMEN,PC_AGE,A,2019,12.585433,
IRL,NEET,20_24_WOMEN,PC_AGE,A,2020,12.411299,
IRL,NEET,20_24_WOMEN,PC_AGE,A,2021,12.231023,
IRL,NEET,20_24_WOMEN,PC_AGE,A,2022,10.406092,
ITA,NEET,15_19_MEN,PC_AGE,A,2019,11.372489,
ITA,NEET,15_19_MEN,PC_AGE,A,2020,11.636849,
ITA,NEET,15_19_MEN,PC_AGE,A,2021,12.732074,
ITA,NEET,15_19_MEN,PC_AGE,A,2022,14.876242,
ITA,NEET,20_24_MEN,PC_AGE,A,2019,28.529421,
ITA,NEET,20_24_MEN,PC_AGE,A,2020,27.021816,
ITA,NEET,20_24_MEN,PC_AGE,A,2021,29.734928,
ITA,NEET,20_24_MEN,PC_AGE,A,2022,26.298286,
ITA,NEET,15_19_WOMEN,PC_AGE,A,2019,10.187243,
ITA,NEET,15_19_WOMEN,PC_AGE,A,2020,9.5223808,
ITA,NEET,15_19_WOMEN,PC_AGE,A,2021,12.291256,
ITA,NEET,15_19_WOMEN,PC_AGE,A,2022,12.949952,
ITA,NEET,20_24_WOMEN,PC_AGE,A,2019,28.379215,
ITA,NEET,20_24_WOMEN,PC_AGE,A,2020,27.858509,
ITA,NEET,20_24_WOMEN,PC_AGE,A,2021,30.50642,
ITA,NEET,20_24_WOMEN,PC_AGE,A,2022,26.506401,
MEX,NEET,15_19_MEN,PC_AGE,A,2019,8.3673334,
MEX,NEET,15_19_MEN,PC_AGE,A,2020,9.1824265,
MEX,NEET,15_19_MEN,PC_AGE,A,2021,8.6215878,
MEX,NEET,15_19_MEN,PC_AGE,A,2022,9.1497087,
MEX,NEET,20_24_MEN,PC_AGE,A,2019,9.4859343,
MEX,NEET,20_24_MEN,PC_AGE,A,2020,12.516269,
MEX,NEET,20_24_MEN,PC_AGE,A,2021,11.163848,
MEX,NEET,20_24_MEN,PC_AGE,A,2022,9.5319281,
MEX,NEET,15_19_WOMEN,PC_AGE,A,2019,20.149157,
MEX,NEET,15_19_WOMEN,PC_AGE,A,2020,20.524927,
MEX,NEET,15_19_WOMEN,PC_AGE,A,2021,18.734539,
MEX,NEET,15_19_WOMEN,PC_AGE,A,2022,18.262226,
MEX,NEET,20_24_WOMEN,PC_AGE,A,2019,35.937416,
MEX,NEET,20_24_WOMEN,PC_AGE,A,2020,36.864388,
MEX,NEET,20_24_WOMEN,PC_AGE,A,2021,34.884453,
MEX,NEET,20_24_WOMEN,PC_AGE,A,2022,31.943857,
NLD,NEET,15_19_MEN,PC_AGE,A,2019,2.9250803,
NLD,NEET,15_19_MEN,PC_AGE,A,2020,3.7938845,
NLD,NEET,15_19_MEN,PC_AGE,A,2021,1.6292889,
NLD,NEET,15_19_MEN,PC_AGE,A,2022,1.8322083,
NLD,NEET,20_24_MEN,PC_AGE,A,2019,7.2538862,
NLD,NEET,20_24_MEN,PC_AGE,A,2020,6.322464,
NLD,NEET,20_24_MEN,PC_AGE,A,2021,5.7471266,
NLD,NEET,20_24_MEN,PC_AGE,A,2022,4.3861194,
NLD,NEET,15_19_WOMEN,PC_AGE,A,2019,1.5560371,
NLD,NEET,15_19_WOMEN,PC_AGE,A,2020,1.9569085,
NLD,NEET,15_19_WOMEN,PC_AGE,A,2021,2.6578736,
NLD,NEET,15_19_WOMEN,PC_AGE,A,2022,1.7900242,
NLD,NEET,20_24_WOMEN,PC_AGE,A,2019,5.3564692,
NLD,NEET,20_24_WOMEN,PC_AGE,A,2020,5.4447136,
NLD,NEET,20_24_WOMEN,PC_AGE,A,2021,4.1635823,
NLD,NEET,20_24_WOMEN,PC_AGE,A,2022,4.3203182,
NZL,NEET,15_19_MEN,PC_AGE,A,2019,7.3170733,
NZL,NEET,15_19_MEN,PC_AGE,A,2020,7.3846154,
NZL,NEET,15_19_MEN,PC_AGE,A,2021,8.4577112,
NZL,NEET,15_19_MEN,PC_AGE,A,2022,9.1754494,
NZL,NEET,20_24_MEN,PC_AGE,A,2019,12.39143,
NZL,NEET,20_24_MEN,PC_AGE,A,2020,12.514351,
NZL,NEET,20_24_MEN,PC_AGE,A,2021,12.820513,
NZL,NEET,20_24_MEN,PC_AGE,A,2022,13.737252,
NZL,NEET,15_19_WOMEN,PC_AGE,A,2019,6.4833007,
NZL,NEET,15_19_WOMEN,PC_AGE,A,2020,7.0084362,
NZL,NEET,15_19_WOMEN,PC_AGE,A,2021,8.039216,
NZL,NEET,15_19_WOMEN,PC_AGE,A,2022,7.395288,
NZL,NEET,20_24_WOMEN,PC_AGE,A,2019,15.52795,
NZL,NEET,20_24_WOMEN,PC_AGE,A,2020,16.974171,
NZL,NEET,20_24_WOMEN,PC_AGE,A,2021,15.356037,
NZL,NEET,20_24_WOMEN,PC_AGE,A,2022,13.940166,
NOR,NEET,15_19_MEN,PC_AGE,A,2019,3.2250226,
NOR,NEET,15_19_MEN,PC_AGE,A,2020,3.306428,
NOR,NEET,15_19_MEN,PC_AGE,A,2021,4.7777524,
NOR,NEET,15_19_MEN,PC_AGE,A,2022,3.125,
NOR,NEET,20_24_MEN,PC_AGE,A,2019,9.6196737,
NOR,NEET,20_24_MEN,PC_AGE,A,2020,11.267467,
NOR,NEET,20_24_MEN,PC_AGE,A,2021,10.654536,
NOR,NEET,20_24_MEN,PC_AGE,A,2022,8.2840233,
NOR,NEET,15_19_WOMEN,PC_AGE,A,2019,3.8050547,
NOR,NEET,15_19_WOMEN,PC_AGE,A,2020,2.7523737,
NOR,NEET,15_19_WOMEN,PC_AGE,A,2021,3.0603101,
NOR,NEET,15_19_WOMEN,PC_AGE,A,2022,3.2894738,
NOR,NEET,20_24_WOMEN,PC_AGE,A,2019,7.8103585,
NOR,NEET,20_24_WOMEN,PC_AGE,A,2020,8.6828442,
NOR,NEET,20_24_WOMEN,PC_AGE,A,2021,7.8622022,
NOR,NEET,20_24_WOMEN,PC_AGE,A,2022,6.9620252,
POL,NEET,15_19_MEN,PC_AGE,A,2019,3.1578948,
POL,NEET,15_19_MEN,PC_AGE,A,2020,3.0814641,
POL,NEET,15_19_MEN,PC_AGE,A,2021,7.4811497,
POL,NEET,15_19_MEN,PC_AGE,A,2022,7.3823152,
POL,NEET,20_24_MEN,PC_AGE,A,2019,11.458333,
POL,NEET,20_24_MEN,PC_AGE,A,2020,13.66922,
POL,NEET,20_24_MEN,PC_AGE,A,2021,14.28094,
POL,NEET,20_24_MEN,PC_AGE,A,2022,13.506139,
POL,NEET,15_19_WOMEN,PC_AGE,A,2019,2.9666255,
POL,NEET,15_19_WOMEN,PC_AGE,A,2020,2.4338493,
POL,NEET,15_19_WOMEN,PC_AGE,A,2021,7.4480009,
POL,NEET,15_19_WOMEN,PC_AGE,A,2022,6.5950351,
POL,NEET,20_24_WOMEN,PC_AGE,A,2019,16.684961,
POL,NEET,20_24_WOMEN,PC_AGE,A,2020,17.156862,
POL,NEET,20_24_WOMEN,PC_AGE,A,2021,17.143867,
POL,NEET,20_24_WOMEN,PC_AGE,A,2022,13.773607,
PRT,NEET,15_19_MEN,PC_AGE,A,2019,4.377038,
PRT,NEET,15_19_MEN,PC_AGE,A,2020,3.5484405,
PRT,NEET,15_19_MEN,PC_AGE,A,2021,4.0316372,
PRT,NEET,15_19_MEN,PC_AGE,A,2022,3.8732488,
PRT,NEET,20_24_MEN,PC_AGE,A,2019,13.727489,
PRT,NEET,20_24_MEN,PC_AGE,A,2020,15.283639,
PRT,NEET,20_24_MEN,PC_AGE,A,2021,15.954052,
PRT,NEET,20_24_MEN,PC_AGE,A,2022,13.913748,
PRT,NEET,15_19_WOMEN,PC_AGE,A,2019,5.1880083,
PRT,NEET,15_19_WOMEN,PC_AGE,A,2020,4.2146301,
PRT,NEET,15_19_WOMEN,PC_AGE,A,2021,3.6753309,
PRT,NEET,15_19_WOMEN,PC_AGE,A,2022,4.3817406,
PRT,NEET,20_24_WOMEN,PC_AGE,A,2019,16.981247,
PRT,NEET,20_24_WOMEN,PC_AGE,A,2020,15.804408,
PRT,NEET,20_24_WOMEN,PC_AGE,A,2021,17.84672,
PRT,NEET,20_24_WOMEN,PC_AGE,A,2022,11.449239,
SVK,NEET,15_19_MEN,PC_AGE,A,2019,6.1102948,
SVK,NEET,15_19_MEN,PC_AGE,A,2020,5.9009304,
SVK,NEET,15_19_MEN,PC_AGE,A,2021,5.8479924,
SVK,NEET,15_19_MEN,PC_AGE,A,2022,6.4879975,
SVK,NEET,20_24_MEN,PC_AGE,A,2019,10.339218,
SVK,NEET,20_24_MEN,PC_AGE,A,2020,11.599817,
SVK,NEET,20_24_MEN,PC_AGE,A,2021,14.940261,
SVK,NEET,20_24_MEN,PC_AGE,A,2022,13.730983,
SVK,NEET,15_19_WOMEN,PC_AGE,A,2019,4.7868032,
SVK,NEET,15_19_WOMEN,PC_AGE,A,2020,5.480742,
SVK,NEET,15_19_WOMEN,PC_AGE,A,2021,5.313066,
SVK,NEET,15_19_WOMEN,PC_AGE,A,2022,5.1952138,
SVK,NEET,20_24_WOMEN,PC_AGE,A,2019,13.272696,
SVK,NEET,20_24_WOMEN,PC_AGE,A,2020,16.054489,
SVK,NEET,20_24_WOMEN,PC_AGE,A,2021,16.98764,
SVK,NEET,20_24_WOMEN,PC_AGE,A,2022,13.172713,
ESP,NEET,15_19_MEN,PC_AGE,A,2019,8.6552191,
ESP,NEET,15_19_MEN,PC_AGE,A,2020,9.4218225,
ESP,NEET,15_19_MEN,PC_AGE,A,2021,8.4795761,
ESP,NEET,15_19_MEN,PC_AGE,A,2022,7.5203471,
ESP,NEET,20_24_MEN,PC_AGE,A,2019,21.750883,
ESP,NEET,20_24_MEN,PC_AGE,A,2020,22.036478,
ESP,NEET,20_24_MEN,PC_AGE,A,2021,24.404253,
ESP,NEET,20_24_MEN,PC_AGE,A,2022,19.3316,
ESP,NEET,15_19_WOMEN,PC_AGE,A,2019,6.8338051,
ESP,NEET,15_19_WOMEN,PC_AGE,A,2020,6.7481089,
ESP,NEET,15_19_WOMEN,PC_AGE,A,2021,6.3318295,
ESP,NEET,15_19_WOMEN,PC_AGE,A,2022,7.4372754,
ESP,NEET,20_24_WOMEN,PC_AGE,A,2019,22.062113,
ESP,NEET,20_24_WOMEN,PC_AGE,A,2020,21.397324,
ESP,NEET,20_24_WOMEN,PC_AGE,A,2021,20.853966,
ESP,NEET,20_24_WOMEN,PC_AGE,A,2022,17.879162,
SWE,NEET,15_19_MEN,PC_AGE,A,2021,6.2222223,
SWE,NEET,20_24_MEN,PC_AGE,A,2019,9.8810644,
SWE,NEET,20_24_MEN,PC_AGE,A,2020,11.288082,
SWE,NEET,20_24_MEN,PC_AGE,A,2021,11.771685,
SWE,NEET,20_24_MEN,PC_AGE,A,2022,9.7381783,
SWE,NEET,20_24_WOMEN,PC_AGE,A,2019,7.9952016,
SWE,NEET,20_24_WOMEN,PC_AGE,A,2020,9.7965117,
SWE,NEET,20_24_WOMEN,PC_AGE,A,2021,9.1193094,
SWE,NEET,20_24_WOMEN,PC_AGE,A,2022,9.6846514,
CHE,NEET,15_19_MEN,PC_AGE,A,2019,5.5185981,
CHE,NEET,15_19_MEN,PC_AGE,A,2020,6.7377481,
CHE,NEET,15_19_MEN,PC_AGE,A,2021,12.632993,
CHE,NEET,15_19_MEN,PC_AGE,A,2022,21.240316,
CHE,NEET,20_24_MEN,PC_AGE,A,2019,11.643656,
CHE,NEET,20_24_MEN,PC_AGE,A,2020,10.192185,
CHE,NEET,20_24_MEN,PC_AGE,A,2021,12.403853,
CHE,NEET,20_24_MEN,PC_AGE,A,2022,14.75894,
CHE,NEET,15_19_WOMEN,PC_AGE,A,2019,3.0203419,
CHE,NEET,15_19_WOMEN,PC_AGE,A,2020,3.7076602,
CHE,NEET,15_19_WOMEN,PC_AGE,A,2021,11.35959,
CHE,NEET,15_19_WOMEN,PC_AGE,A,2022,19.405571,
CHE,NEET,20_24_WOMEN,PC_AGE,A,2019,4.4061947,
CHE,NEET,20_24_WOMEN,PC_AGE,A,2020,6.5259342,
CHE,NEET,20_24_WOMEN,PC_AGE,A,2021,10.333418,
CHE,NEET,20_24_WOMEN,PC_AGE,A,2022,9.4364672,
TUR,NEET,15_19_MEN,PC_AGE,A,2019,13.219178,
TUR,NEET,15_19_MEN,PC_AGE,A,2021,12.733334,
TUR,NEET,15_19_MEN,PC_AGE,A,2022,12.4618,
TUR,NEET,20_24_MEN,PC_AGE,A,2019,22.222221,
TUR,NEET,20_24_MEN,PC_AGE,A,2021,22.799576,
TUR,NEET,20_24_MEN,PC_AGE,A,2022,21.594101,
TUR,NEET,15_19_WOMEN,PC_AGE,A,2019,21.193035,
TUR,NEET,15_19_WOMEN,PC_AGE,A,2021,20.580763,
TUR,NEET,15_19_WOMEN,PC_AGE,A,2022,21.321882,
TUR,NEET,20_24_WOMEN,PC_AGE,A,2019,44.419308,
TUR,NEET,20_24_WOMEN,PC_AGE,A,2021,44.032318,
TUR,NEET,20_24_WOMEN,PC_AGE,A,2022,45.245785,
GBR,NEET,15_19_MEN,PC_AGE,A,2019,10.250301,
GBR,NEET,15_19_MEN,PC_AGE,A,2020,9.9391499,
GBR,NEET,15_19_MEN,PC_AGE,A,2021,9.6930132,
GBR,NEET,15_19_MEN,PC_AGE,A,2022,8.8785,
GBR,NEET,20_24_MEN,PC_AGE,A,2019,12.343375,
GBR,NEET,20_24_MEN,PC_AGE,A,2020,14.01483,
GBR,NEET,20_24_MEN,PC_AGE,A,2021,14.965842,
GBR,NEET,20_24_MEN,PC_AGE,A,2022,13.159009,
GBR,NEET,15_19_WOMEN,PC_AGE,A,2019,6.9362416,
GBR,NEET,15_19_WOMEN,PC_AGE,A,2020,8.3410759,
GBR,NEET,15_19_WOMEN,PC_AGE,A,2021,7.2203212,
