local_authority_code,local_authority_name,total,total,total,total,total,total,total,total,asian,asian,asian,asian,asian,asian,asian,asian,black_british,black_british,black_british,black_british,black_british,black_british,black_british,black_british,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,white,white,white,white,white,white,white,white,other,other,other,other,other,other,other,other
,,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other
E08000007,Stockport,238931,37081,21832,32340,13924,38563,89743,5448,16162,2454,1132,1494,257,1769,8524,532,2607,270,242,266,80,351,1336,62,4037,339,282,715,134,748,1766,53,212478,33417,19900,29578,13377,35337,76227,4642,3647,601,276,287,76,358,1890,159
E08000008,Tameside,185130,40437,20812,28050,12773,32846,45214,4998,15196,4018,1738,1737,374,2009,4744,576,3677,572,382,395,182,443,1569,134,2576,328,229,459,141,504,867,48,162201,35079,18301,25347,12011,29732,37554,4177,1480,440,162,112,65,158,480,63
E08000009,Trafford,186151,25990,15309,23608,8930,28143,79961,4210,20979,2944,1375,1961,345,2317,11404,633,6229,840,538,693,189,924,2885,160,4451,421,331,764,119,804,1963,49,150343,21231,12782,19868,8199,23664,61366,3233,4149,554,283,322,78,434,2343,135
E08000010,Wigan,268694,56571,28258,41466,18996,47383,69357,6663,4381,964,331,399,118,419,1965,185,2755,346,236,323,99,340,1337,74,2289,320,214,399,94,432,781,49,257567,54362,27305,40227,18628,46058,64717,6270,1702,579,172,118,57,134,557,85
E08000011,Knowsley,124305,32601,13206,17898,6817,21412,29578,2793,1896,271,110,206,37,208,1006,58,942,105,42,77,26,121,558,13,1643,283,147,274,71,312,522,34,119203,31791,12834,17294,6656,20715,27261,2652,621,151,73,47,27,56,231,36
E08000012,Liverpool,403028,90049,34955,46141,17623,80909,124150,9201,21965,4333,1399,1642,486,3394,9783,928,12246,2054,966,1248,503,2007,5123,345,11293,1800,820,1379,435,2771,3851,237,345966,78431,30723,41048,15758,71534,101400,7072,11558,3431,1047,824,441,1203,3993,619
E08000013,St. Helens,150571,32245,15613,22079,9726,26155,40903,3850,2025,423,165,207,51,185,916,78,566,53,35,63,23,63,318,11,1102,138,92,156,48,239,417,12,146124,31427,15247,21595,9573,25587,38983,3712,754,204,74,58,31,81,269,37
E08000014,Sefton,232395,45888,23886,32730,13809,40580,69495,6007,3451,675,284,321,93,363,1562,153,1220,204,109,135,56,180,493,43,2311,291,209,388,83,455,827,58,224008,44277,23157,31784,13531,39443,66141,5675,1405,441,127,102,46,139,472,78
E08000015,Wirral,262115,46894,25283,38575,15666,46887,82451,6359,5609,1124,452,575,136,549,2563,210,1073,109,70,138,45,144,544,23,2698,318,210,497,100,500,1045,28,251300,45015,24437,37249,15324,45550,77710,6015,1435,328,114,116,61,144,589,83
E06000010,"Kingston upon Hull, City of",213881,54012,24163,30140,14691,37418,46511,6946,5664,1274,452,463,153,674,2397,251,3506,561,310,367,138,597,1408,125,2681,536,239,414,123,543,742,84,198564,50324,22820,28651,14129,35323,41052,6265,3466,1317,342,245,148,281,912,221
E06000011,East Riding of Yorkshire,288136,52476,28930,40564,20619,49602,87851,8094,2971,494,206,229,85,260,1595,102,763,72,58,79,32,79,431,12,1798,226,169,284,68,316,711,24,281606,51446,28401,39899,20398,48857,84686,7919,998,238,96,73,36,90,428,37
E06000012,North East Lincolnshire,127521,30906,15532,20512,8313,20885,27536,3837,1846,432,164,151,55,172,798,74,651,87,44,50,28,72,356,14,829,154,76,150,27,151,250,21,123450,30010,15175,20107,8158,20425,25885,3690,745,223,73,54,45,65,247,38
E06000013,North Lincolnshire,139466,30466,16291,21104,9925,23954,33361,4365,4243,1153,487,480,126,454,1394,149,659,121,52,70,18,67,306,25,998,212,97,184,40,157,283,25,132562,28525,15544,20314,9689,23217,31168,4105,1004,455,111,56,52,59,210,61
E06000014,York,172080,22953,12802,19552,9032,37408,66749,3584,6654,657,282,345,209,1190,3731,240,1121,71,56,93,26,312,547,16,2412,113,107,242,50,858,1020,22,160318,21861,12266,18755,8694,34808,60689,3245,1575,251,91,117,53,240,762,61
,North Yorkshire,516176,82990,47622,72377,33901,87830,178949,12507,6683,1380,519,665,304,657,2922,236,1884,158,181,242,97,256,902,48,3677,383,279,621,126,662,1542,64,501663,80606,46433,70596,33208,86042,172737,12041,2269,463,210,253,166,213,846,118
E08000016,Barnsley,199791,50330,21589,28979,13192,33652,46798,5251,1784,453,164,167,51,172,697,80,1218,162,110,160,41,174,532,39,1321,223,130,220,58,223,432,35,194469,49160,21072,28349,12985,32990,44858,5055,999,332,113,83,57,93,279,42
E08000017,Doncaster,250925,61805,28721,37901,16765,41597,56929,7207,6894,1775,778,839,203,774,2214,311,2904,463,313,349,146,393,1135,105,2507,466,247,439,128,467,713,47,235848,57872,27128,36087,16152,39771,52247,6591,2772,1229,255,187,136,192,620,153
E08000018,Rotherham,215569,50529,24545,33613,14398,36879,49804,5801,10049,2812,1068,1402,184,1239,3036,308,2113,238,205,260,86,281,995,48,1922,297,198,346,112,385,556,28,199534,46442,22874,31437,13939,34812,44704,5326,1951,740,200,168,77,162,513,91
E08000019,Sheffield,456252,88425,41454,53591,24865,84712,152194,11011,40544,9200,3304,4013,842,6227,15502,1456,18611,3303,1809,2077,676,2849,7378,519,11056,1451,928,1606,415,2687,3785,184,373805,71054,34208,44964,22548,71579,121153,8299,12236,3417,1205,931,384,1370,4376,553
E08000032,Bradford,421578,101122,46052,57458,22780,66274,115664,12228,122398,36780,14284,16375,2497,17695,30286,4481,8273,1604,793,908,341,1072,3299,256,7435,1256,826,1443,305,1363,2117,125,275651,58887,29246,38114,19334,45401,77629,7040,7821,2595,903,618,303,743,2333,326
E08000033,Calderdale,166634,31965,16313,23351,10524,29096,51419,3966,15202,4340,1557,1993,263,2131,4418,500,1096,146,95,124,43,170,493,25,2161,285,180,387,97,422,755,35,146998,26826,14368,20768,10084,26272,45338,3342,1177,368,113,79,37,101,415,64
E08000034,Kirklees,346273,71831,33776,46114,21654,60186,103532,9180,60247,17329,6381,7842,1136,8724,16506,2329,7934,1415,794,900,375,1210,3032,208,6860,1055,698,1227,270,1491,2007,112,266673,50667,25411,35749,19703,48326,80485,6332,4559,1365,492,396,170,435,1502,199
E08000035,Leeds,658473,119599,60190,79195,34353,120782,228358,15996,59066,11999,5012,6083,1251,8137,24570,2014,32245,5826,3653,3828,1367,4527,11893,1151,15377,1678,1297,2282,439,3861,5541,279,537827,96764,49065,66096,30783,102719,180461,11939,13958,3332,1163,906,513,1538,5893,613
E08000036,Wakefield,287541,70232,31087,42946,18709,46794,69797,7976,9072,2257,1002,980,197,1007,3272,357,3071,568,306,396,100,355,1264,82,2480,376,229,491,95,489,746,54,271022,66421,29350,40938,18233,44783,63906,7391,1896,610,200,141,84,160,609,92
E06000015,Derby,209194,42143,21586,27707,13065,36229,62097,6367,30279,7446,3031,3706,728,4016,10097,1255,8123,1213,730,966,339,1293,3274,308,4931,766,510,875,232,1041,1425,82,160396,30837,16683,21706,11581,29369,45756,4464,5465,1881,632,454,185,510,1545,258
E06000016,Leicester,291014,77692,31152,33954,11025,46859,77900,12432,125271,38133,14189,13728,2676,15714,34037,6794,21336,3158,1993,2625,599,4966,7355,640,7803,1099,769,1296,282,1938,2264,155,125745,32013,13045,15323,7116,22985,31028,4235,10859,3289,1156,982,352,1256,3216,608
E06000017,Rutland,34297,4490,2953,5275,1935,5837,13011,796,490,82,30,67,9,61,222,19,456,68,30,91,39,69,148,11,456,30,60,104,14,88,149,11,32733,4281,2820,4996,1861,5606,12422,747,162,29,13,17,12,13,70,8
E06000018,Nottingham,264326,51554,23096,29844,10836,66236,75676,7084,37161,6810,2949,3623,751,7765,13751,1512,24448,3787,2184,3051,891,5748,8151,636,11184,1328,1052,1649,382,3573,3035,165,183634,37794,16270,20985,8540,48015,47650,4380,7899,1835,641,536,272,1135,3089,391
E06000061,North Northamptonshire,289189,57682,34404,44428,18201,48272,77281,8921,10046,2101,885,1077,203,1088,4316,376,7986,950,671,959,279,1126,3796,205,4272,577,509,822,166,836,1299,63,264554,53310,32110,41379,17433,45000,67182,8140,2331,744,229,191,120,222,688,137
E06000062,West Northamptonshire,343505,59806,37392,49213,19759,58081,109086,10168,17327,3136,1478,1718,327,1980,8104,584,15153,2027,1402,1899,504,2602,6320,399,6585,858,668,1206,268,1357,2093,135,300745,52747,33503,44108,18499,51754,91282,8852,3695,1038,341,282,161,388,1287,198
E07000032,Amber Valley,105064,20668,10975,15011,7031,18726,30265,2388,980,169,77,92,24,88,494,36,316,33,27,36,11,49,146,14,803,90,59,153,41,159,286,15,102720,20331,10796,14714,6944,18409,29213,2313,245,45,16,16,11,21,126,10
E07000033,Bolsover,66275,16016,7698,10066,4516,11771,14404,1804,603,124,48,55,12,79,260,25,326,30,28,33,12,52,165,6,416,52,34,79,31,78,134,8,64735,15749,7569,9880,4435,11546,13795,1761,195,61,19,19,26,16,50,4
E07000034,Chesterfield,86007,17380,9384,13049,5518,15450,23053,2173,1507,325,143,141,29,153,658,58,702,105,59,66,27,96,324,25,844,105,80,148,34,190,274,13,82608,16755,9062,12678,5418,14973,21660,2062,346,90,40,16,10,38,137,15
E07000035,Derbyshire Dales,61058,9582,5303,8120,3173,9588,23939,1353,471,62,33,69,15,67,206,19,148,10,9,21,4,29,71,4,410,33,24,63,16,72,196,6,59875,9444,5223,7950,3131,9404,23407,1316,154,33,14,17,7,16,59,8
E07000036,Erewash,93527,18529,10440,14023,6982,17037,24203,2313,1447,252,136,152,39,178,641,49,740,95,71,93,47,99,325,10,1099,116,105,203,60,229,367,19,89909,18014,10107,13526,6819,16490,22741,2212,332,52,21,49,17,41,129,23
E07000037,High Peak,75667,11310,7063,10412,4581,13751,26922,1628,608,102,46,51,21,63,293,32,201,38,21,22,7,27,79,7,647,58,42,97,17,125,295,13,74024,11073,6940,10230,4526,13524,26162,1569,187,39,14,12,10,12,93,7
E07000038,North East Derbyshire,85273,17066,9101,12364,5827,15328,23506,2081,754,133,73,69,19,81,351,28,263,36,18,33,12,30,125,9,604,74,56,94,21,137,208,14,83490,16779,8945,12154,5766,15066,22761,2019,162,44,9,14,9,14,61,11
E07000039,South Derbyshire,86955,13923,8596,12842,5439,16365,27668,2122,3047,494,261,303,64,368,1443,114,649,38,42,73,22,97,366,11,1000,82,93,187,41,233,350,14,81691,13198,8155,12220,5295,15614,25256,1953,568,111,45,59,17,53,253,30
E07000129,Blaby,83667,14464,8375,11882,5942,15427,25547,2030,6828,1072,596,741,143,821,3272,183,1185,117,87,108,45,150,659,19,1346,135,126,247,52,311,455,20,73312,12930,7476,10707,5674,14027,20737,1761,996,210,90,79,28,118,424,47
E07000130,Charnwood,153101,24122,13858,18971,8984,33746,49882,3538,18663,2865,1554,1857,306,3226,8265,590,2326,118,89,168,47,877,993,34,2687,176,183,367,78,979,876,28,127699,20677,11904,16451,8518,28369,38956,2824,1726,286,128,128,35,295,792,62
E07000131,Harborough,80433,10940,7234,11248,4831,13902,30386,1892,4158,469,232,398,54,527,2404,74,550,41,26,71,24,80,293,15,1038,89,75,190,36,207,424,17,74094,10220,6857,10530,4704,13025,26996,1762,593,121,44,59,13,63,269,24
E07000132,Hinckley and Bosworth,93921,17205,10028,13581,6199,16900,27631,2377,2536,369,209,262,44,296,1277,79,542,47,29,56,20,69,308,13,1034,88,89,192,40,237,371,17,89315,16601,9653,13024,6082,16241,25472,2242,494,100,48,47,13,57,203,26
E07000133,Melton,42940,7034,4294,6302,2893,7905,13349,1163,505,108,53,50,16,65,199,14,164,20,14,13,8,29,75,5,379,45,29,72,11,65,152,5,41760,6829,4190,6156,2849,7730,12879,1127,132,32,8,11,9,16,44,12
