geography_code,geography_name,age,gender,Claimant count,Population estimate,Claimants percentage
E14000575,Blyth Valley,Aged 16+,Total,2195.0,70275.0,3.1234436143721096
E14000575,Blyth Valley,Aged 16-24,Total,495.0,7710.0,6.420233463035019
E14000576,Bognor Regis and Littlehampton,Aged 16+,Total,2455.0,89764.0,2.734949422931242
E14000576,Bognor Regis and Littlehampton,Aged 16-24,Total,375.0,8829.0,4.247366632687734
E14000577,Bolsover,Aged 16+,Total,2045.0,83380.0,2.4526265291436795
E14000577,Bolsover,Aged 16-24,Total,435.0,9135.0,4.761904761904762
E14000578,Bolton North East,Aged 16+,Total,4125.0,78269.0,5.270285809196489
E14000578,Bolton North East,Aged 16-24,Total,745.0,10180.0,7.318271119842828
E14000579,Bolton South East,Aged 16+,Total,4670.0,82012.0,5.694288640686729
E14000579,Bolton South East,Aged 16-24,Total,835.0,11917.0,7.006797012670975
E14000580,Bolton West,Aged 16+,Total,2070.0,78501.0,2.6369090839607137
E14000580,Bolton West,Aged 16-24,Total,390.0,8586.0,4.5422781271837875
E14000581,Bootle,Aged 16+,Total,3525.0,80327.0,4.388312771546304
E14000581,Bootle,Aged 16-24,Total,680.0,9717.0,6.998044663990943
E14000582,Boston and Skegness,Aged 16+,Total,3250.0,89370.0,3.636567080675842
E14000582,Boston and Skegness,Aged 16-24,Total,555.0,9199.0,6.033264485270138
E14000583,Bosworth,Aged 16+,Total,1515.0,87708.0,1.7273224791353126
E14000583,Bosworth,Aged 16-24,Total,260.0,9030.0,2.8792912513842746
E14000584,Bournemouth East,Aged 16+,Total,2865.0,86553.0,3.3101105680912277
E14000584,Bournemouth East,Aged 16-24,Total,380.0,11529.0,3.296036082921329
E14000585,Bournemouth West,Aged 16+,Total,2845.0,89085.0,3.1935791659650894
E14000585,Bournemouth West,Aged 16-24,Total,460.0,17407.0,2.6426150399264663
E14000586,Bracknell,Aged 16+,Total,1680.0,89982.0,1.867040074681603
E14000586,Bracknell,Aged 16-24,Total,275.0,10869.0,2.530131566841476
